Date,Payment,towards,cheque,DrawnOn,FinancedBy,Schedule
05/08/2018,200000,Stamp Duty,213601,IPO Nagpur,Baba,Miscleneous Charges
05/08/2018,100000,Agreement Cost,213602,IPO Nagpur,Baba,Before Agreement
21/08/2018,464335,Agreement Cost,213604,IPO Nagpur,Baba,Before Agreement
21/08/2018,33860,GST,213604,IPO Nagpur,Baba,Before Agreement
21/08/2018,138700,Stamp Duty,213605,IPO Nagpur,Baba,Miscleneous Charges
21/08/2018,30000,Registration,213605,IPO Nagpur,Baba,Miscleneous Charges
21/08/2018,56434,TDS,213605,IPO Nagpur,Baba,Completion of slab - basement raft
01/09/2018,5000,Agreement Registration,,,Shantanu,Miscleneous Charges
20/10/2018,216664,Agreement Cost,213603,IPO Nagpur,Baba,Completion of slab - basement raft
20/10/2018,26000,GST,213603,IPO Nagpur,Baba,Completion of slab - basement raft
08/12/2018,216664,Agreement Cost,334498,HDFC Bank,LIC HFL,Completion of slab- lower ground
08/12/2018,26000,GST,334497,HDFC Bank,LIC HFL,Completion of slab- lower ground
26/12/2018,50388,Agreement Cost,N360180709797062,HDFC Bank,Shantanu,Completion of slab- lower ground
26/12/2018,6046,GST,N360180709797062,HDFC Bank,Shantanu,Completion of slab- lower ground
